timestamp,action,symbol,underlying,type,contracts,price,pnl,reason
2026-06-10T18:24:01.580518+00:00,CLOSE,IWM260610P00285000,IWM,put,2,1.3900000000000001,108.0,Trailing stop hit
2026-06-10T18:24:03.786077+00:00,OPEN,IWM260610P00284000,IWM,put,2,0.77,0,Entry
2026-06-10T18:44:01.712551+00:00,CLOSE,SPY260610P00730000,SPY,put,2,2.19,183.0,Trailing stop hit
2026-06-10T18:44:01.906401+00:00,CLOSE,QQQ260610P00700000,QQQ,put,2,3.735,300.0,Trailing stop hit
2026-06-10T18:44:02.107963+00:00,CLOSE,IWM260610P00284000,IWM,put,2,1.185,83.0,Trailing stop hit
2026-06-10T18:44:04.837250+00:00,OPEN,SPY260610P00730000,SPY,put,2,2.1499999999999995,0,Entry
2026-06-10T18:44:06.016402+00:00,OPEN,QQQ260610P00698000,QQQ,put,2,2.415,0,Entry
2026-06-10T18:44:07.168278+00:00,OPEN,IWM260610P00284000,IWM,put,2,1.235,0,Entry
2026-06-10T18:52:02.304677+00:00,CLOSE,QQQ260610P00698000,QQQ,put,2,3.385,194.0,Trailing stop hit
2026-06-10T18:52:04.736917+00:00,OPEN,QQQ260610P00698000,QQQ,put,2,3.505,0,Entry
2026-06-10T18:53:01.546689+00:00,CLOSE,SPY260610P00730000,SPY,put,2,2.87,144.0,Trailing stop hit
2026-06-10T18:53:03.976451+00:00,OPEN,SPY260610P00730000,SPY,put,2,2.7449999999999997,0,Entry
2026-06-10T18:59:09.640554+00:00,CLOSE,TSLA260610P00385000,TSLA,put,2,3.135,332.0,Trailing stop hit
2026-06-10T18:59:31.464836+00:00,OPEN,TSLA260610P00385000,TSLA,put,2,3.125,0,Entry
2026-06-10T19:08:01.712507+00:00,CLOSE,QQQ260610P00698000,QQQ,put,2,2.29,-243.0,Stop loss hit
2026-06-10T19:08:04.075910+00:00,OPEN,QQQ260610P00698000,QQQ,put,2,2.2749999999999995,0,Entry
2026-06-10T19:30:02.391842+00:00,CLOSE,IWM260610P00284000,IWM,put,2,1.87,127.0,Trailing stop hit
2026-06-10T19:30:02.616909+00:00,CLOSE,TSLA260610P00385000,TSLA,put,2,3.9000000000000004,155.0,Trailing stop hit
2026-06-10T19:30:02.810578+00:00,CLOSE,QQQ260610P00698000,QQQ,put,2,3.915,328.0,Trailing stop hit
2026-06-10T19:32:02.466874+00:00,CLOSE,SPY260610P00730000,SPY,put,2,3.455,142.0,Trailing stop hit
2026-06-11T17:11:56.678016+00:00,OPEN,QQQ260611P00700000,QQQ,put,2,2.4799999999999995,0,Entry
2026-06-11T17:20:04.595892+00:00,OPEN,SPY260611P00727000,SPY,put,2,2.5649999999999995,0,Entry
2026-06-11T17:28:02.075436+00:00,CLOSE,SPY260611P00727000,SPY,put,2,1.745,-164.0,Stop loss hit
2026-06-11T17:28:05.174993+00:00,OPEN,SPY260611P00726000,SPY,put,2,1.285,0,Entry
2026-06-11T17:29:02.413713+00:00,CLOSE,QQQ260611P00700000,QQQ,put,2,1.025,-291.0,Stop loss hit
2026-06-11T17:29:02.684647+00:00,CLOSE,SPY260611P00726000,SPY,put,2,0.665,-124.0,Stop loss hit
2026-06-11T17:29:06.045834+00:00,OPEN,SPY260611P00726000,SPY,put,2,0.785,0,Entry
2026-06-11T17:29:07.584294+00:00,OPEN,QQQ260611P00699000,QQQ,put,2,0.765,0,Entry
2026-06-11T17:30:01.983834+00:00,CLOSE,SPY260611P00726000,SPY,put,2,0.38,-81.0,Stop loss hit
2026-06-11T17:30:02.637958+00:00,CLOSE,QQQ260611P00699000,QQQ,put,2,0.495,-54.0,Stop loss hit
2026-06-11T17:30:02.706719+00:00,SYNC_ADD,QQQ260611C00702000,QQQ,call,2,1.25,0,Added by sync — was missing from state
2026-06-11T17:30:02.706915+00:00,SYNC_ADD,SPY260611C00728000,SPY,call,2,1.225,0,Added by sync — was missing from state
2026-06-12T16:45:06.919105+00:00,OPEN,IWM260612C00294000,IWM,call,2,0.715,0,Entry
2026-06-12T17:00:05.967359+00:00,OPEN,MU260612C01000000,MU,call,2,8.525,0,Entry
2026-06-12T17:56:01.997603+00:00,CLOSE,IWM260612C00294000,IWM,call,2,0.425,-58.0,Stop loss hit
2026-06-12T17:56:02.301475+00:00,CLOSE,MU260612C01000000,MU,call,2,5.505,-604.0,Stop loss hit
2026-06-15T16:45:03.807020+00:00,OPEN,TSLA260615C00412500,TSLA,call,2,0.865,0,Entry
2026-06-15T16:48:02.364398+00:00,CLOSE,TSLA260615C00412500,TSLA,call,2,0.595,-54.0,Stop loss hit
2026-06-15T16:48:04.403098+00:00,OPEN,TSLA260615C00412500,TSLA,call,2,0.62,0,Entry
2026-06-15T17:39:02.138481+00:00,CLOSE,TSLA260615C00412500,TSLA,call,2,0.905,57.0,Trailing stop hit
2026-06-15T17:45:03.996364+00:00,OPEN,TSLA260615C00410000,TSLA,call,2,2.1849999999999996,0,Entry
2026-06-15T18:06:01.527586+00:00,CLOSE,TSLA260615C00410000,TSLA,call,2,1.5150000000000001,-134.0,Stop loss hit
2026-06-17T18:30:05.686051+00:00,OPEN,QQQ260617P00731000,QQQ,put,2,4.18,0,Entry
2026-06-17T18:30:07.592441+00:00,OPEN,IWM260617P00293000,IWM,put,2,1.7750000000000001,0,Entry
2026-06-17T18:32:01.731385+00:00,CLOSE,IWM260617P00293000,IWM,put,2,1.225,-110.0,Stop loss hit
2026-06-17T18:32:05.080699+00:00,OPEN,IWM260617P00293000,IWM,put,2,1.27,0,Entry
2026-06-17T18:36:02.532379+00:00,CLOSE,IWM260617P00293000,IWM,put,2,1.435,33.0,Trailing stop hit
2026-06-17T18:37:01.555156+00:00,CLOSE,QQQ260617P00731000,QQQ,put,2,2.895,-257.0,Stop loss hit
2026-06-17T18:40:03.746278+00:00,OPEN,TSLA260617P00400000,TSLA,put,2,0.65,0,Entry
2026-06-17T18:44:02.129176+00:00,CLOSE,TSLA260617P00400000,TSLA,put,2,0.33999999999999997,-62.0,Stop loss hit
2026-06-17T18:44:04.101418+00:00,OPEN,TSLA260617P00400000,TSLA,put,2,0.38,0,Entry
2026-06-17T19:00:01.646789+00:00,CLOSE,TSLA260617P00400000,TSLA,put,2,0.97,118.0,Trailing stop hit
2026-06-17T19:00:06.262839+00:00,OPEN,TSLA260617P00400000,TSLA,put,2,0.88,0,Entry
2026-06-17T19:13:01.704938+00:00,CLOSE,TSLA260617P00400000,TSLA,put,2,1.115,47.0,Trailing stop hit
2026-06-17T19:13:03.719663+00:00,OPEN,TSLA260617P00400000,TSLA,put,2,1.145,0,Entry
2026-06-17T19:14:02.271634+00:00,CLOSE,TSLA260617P00400000,TSLA,put,2,0.575,-114.0,Stop loss hit
2026-06-17T19:14:04.243907+00:00,OPEN,TSLA260617P00400000,TSLA,put,2,0.5549999999999999,0,Entry
2026-06-17T19:26:01.528204+00:00,CLOSE,TSLA260617P00400000,TSLA,put,2,1.92,273.0,Trailing stop hit
2026-06-18T15:55:04.653443+00:00,OPEN,SPY260618P00745000,SPY,put,2,0.855,0,Entry
2026-06-18T16:22:02.045478+00:00,CLOSE,SPY260618P00745000,SPY,put,2,0.485,-74.0,Stop loss hit
2026-06-23T18:00:06.020536+00:00,OPEN,QQQ260623P00718000,QQQ,put,2,2.995,0,Entry
2026-06-23T18:02:02.248930+00:00,CLOSE,QQQ260623P00718000,QQQ,put,2,2.0545,-188.1,Stop loss hit
2026-06-23T18:02:05.634863+00:00,OPEN,QQQ260623P00718000,QQQ,put,2,2.165,0,Entry
2026-06-23T18:10:04.897894+00:00,OPEN,SPY260623P00736000,SPY,put,2,1.0850000000000002,0,Entry
2026-06-23T18:42:01.720809+00:00,CLOSE,SPY260623P00736000,SPY,put,2,1.6949999999999998,122.0,Trailing stop hit
2026-06-23T18:50:01.849994+00:00,CLOSE,QQQ260623P00718000,QQQ,put,2,4.955,558.0,Trailing stop hit
2026-06-25T15:45:05.946074+00:00,OPEN,IWM260625P00299000,IWM,put,2,1.125,0,Entry
2026-06-25T16:11:01.849382+00:00,CLOSE,IWM260625P00299000,IWM,put,2,0.71,-83.0,Stop loss hit
2026-06-25T17:00:06.426680+00:00,OPEN,SPY260625P00733000,SPY,put,2,1.6250000000000002,0,Entry
2026-06-25T17:16:01.898750+00:00,CLOSE,SPY260625P00733000,SPY,put,2,1.005,-124.0,Stop loss hit
2026-06-26T17:25:05.373088+00:00,OPEN,IWM260626C00299000,IWM,call,2,0.21500000000000002,0,Entry
2026-06-26T17:38:01.501829+00:00,CLOSE,IWM260626C00299000,IWM,call,2,0.14500000000000002,-14.0,Stop loss hit
2026-09-05T05:55:50.658945+00:00,PARTIAL_CLOSE,SPY1,SPY,call,1,1.55,55.0,Scale-out +50%
